label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
stop_sequence,QP,"This field identifies the order of the stops for a particular trip. The values for stop_sequence must be non-negative integers, and they must increase along the trip.
For example, the first stop on the trip could have a stop_sequence of 1, the second stop on the trip could have a stop_sequence of 23, the third stop could have a stop_sequence of 40, and so on. SameAs: 'stop_sequence' field from GTFS Static Field definitions-stop_times.txt (https://developers.google.com/transit/gtfs/reference#stop_timestxt)",TransitManagement,"Number, ValueDescriptor",GTFS: current_stop_sequence,,1,0,
tripDetails,SP,A descriptor of realtime update on the schedule of a vehicle along a trip.,TransitManagement,TripDetails,,,0,0,
,,,,,,,,,
trip_id,TXP,"Trip ID/Trip name alloted to the bus corresponding to this observation, in consideration to the time of the day and the direction of the trip on the given routeId. SameAs: 'trip_id' field from GTFS Realtime message-TripDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-tripdescriptor)",TransitManagement,"Text, ValueDescriptor",GTFS: trip_id,,1,0,
actualTripStartTime,TXP,This field specifies the time at which service actually began.,TransitManagement,"Text, ValueDescriptor",,,0,0,
vehicle_label,TXP,"User visible label, i.e., something that must be shown to the passenger to help identify the correct vehicle.",TransitManagement,"Text, ValueDescriptor",,,1,0,
last_stop_id,TXP,Stop ID/Stop name of the previous bus stop corresponding to the bus in this observation.,TransitManagement,"Text, ValueDescriptor",,,0,0,
last_stop_arrival_time,TXP,"Specifies the arrival time at the previous stop for a specific trip on a route. Times must be eight digits in HH:MM:SS format (H:MM:SS is also accepted, if the hour begins with 0). 
Note: Trips that span multiple dates will have stop times greater than 24:00:00. For example, if a trip begins at 10:30:00 p.m. and ends at 2:15:00 a.m. on the following day, the stop times would be 22:30:00 and 26:15:00. Entering those stop times as 22:30:00 and 02:15:00 would not produce the desired results. SameAs: 'arrival_time' field from GTFS Static Field definitions-stop_times.txt (https://developers.google.com/transit/gtfs/reference#stop_timestxt)",TransitManagement,"Text, ValueDescriptor",GTFS: arrival_time,,0,0,
latitude,GP,Current latitude position obtained from the bus/vehicle corresponding to this observation. SameAs 'latitude' from GTFS- Realtime message-Position  (https://developers.google.com/transit/gtfs-realtime/reference#message-position),TransitManagement,"Text, ValueDescriptor",,,1,1,
longitude,GP,Current longitude position obtained from the bus/vehicle corresponding to this observation. SameAs 'longitude' from GTFS- Realtime message-Position  (https://developers.google.com/transit/gtfs-realtime/reference#message-position),TransitManagement,"Text, ValueDescriptor",,,1,1,
speed,QP,Gives the Speed of the vehicle at the last tracked coordinates.SameAs: 'speed' field from GTFS Realtime message - Position  (https://developers.google.com/transit/gtfs-realtime/reference#message-position),TransitManagement,"Number, ValueDescriptor",GTFS: speed,,1,0,
last_tracked_time,TXP,Gives the time at which the vehicle was last tracked.,TransitManagement,DateTime,,,0,0,
delay,QP,This can be positive and negative in seconds and shows how much the vehicle deviates from the planned one. SameAs: 'delay' field from GTFS Realtime message-StopTimeEvent (https://developers.google.com/transit/gtfs-realtime/reference#message-stoptimeevent),TransitManagement,"Number, ValueDescriptor",GTFS: delay,deviationInSeconds,1,0,
license_plate,TXP,Gives the License Plate number of the vehice. SameAs: 'license_plate' field from GTFS Realtime message-VehicleDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicledescriptor),TransitManagement,"Text, ValueDescriptor",GTFS:license_plate,,1,0,GTFS:VehicleDescriptor
tripDirection,TXP,"Gives the direction in which the vehicle is travelling in ENUM[UP,DN]",TransitManagement,"Text, ValueDescriptor",,,0,0,
,,,,,,,,,
depot_id,TXP,Describes the name of the bus depot corresponding to this observation.,TransitManagement,"Text, ValueDescriptor",,,0,0,
seating_capacity,QP,Describes the passenger seating capacity of the vehicle corresponding to this observation.,TransitManagement,"Number, ValueDescriptor",,,0,0,
standing_capacity,QP,Describes the passenger standing capacity of the vehicle corresponding to this observation.,TransitManagement,"Number, ValueDescriptor",,,0,0,
ac_available,TXP,Describes the presence of air conditioning option in the vehicle corresponding to this observation.,TransitManagement,"Text, ValueDescriptor",,,0,0,
